URL,Last crawled,Status
https://sarahzou.com/wiki/pricing/competitive-and-positioning/value-map,3/21/2026,404
https://sarahzou.com/wiki/pricing/comms-and-deals/price-change-communications,3/21/2026,404
https://sarahzou.com/wiki/pricing/comms-and-deals/social-proof,3/21/2026,404
https://sarahzou.com/wiki/pricing/governance-and-process/raci-discounting,3/20/2026,404
https://sarahzou.com/wiki/pricing/comms-and-deals/pricing-transparency,3/20/2026,404
https://sarahzou.com/wiki/pricing/governance-and-process/cpq-rules,3/20/2026,404
https://sarahzou.com/wiki/pricing/competitive-and-positioning/price-positioning,3/20/2026,404
https://sarahzou.com/wiki/pricing/competitive-and-positioning/competitive-reference-price,3/20/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/credit-based-metrics,3/8/2026,404
https://sarahzou.com/wiki/pricing/pitfalls-and-failures/cannibalization,3/4/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/discovery-sprint,3/4/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/cohort-analysis,3/4/2026,404
https://sarahzou.com/wiki/pricing/foundations/common-pricing-failure-patterns,3/4/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/continuous-vs-banded-metrics,3/1/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/per-user-per-seat,3/1/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/outcome-based-pricing,2/28/2026,404
https://sarahzou.com/downloads/metrics-storytelling-one-pager/,2/25/2026,404
https://sarahzou.com/wiki/pricing/value-and-customers/buyer-identification-fences,2/23/2026,404
https://sarahzou.com/downloads/stage-smart-metrics-benchmarks-2025-q2/,2/20/2026,404
https://sarahzou.com/wiki/pricing/governance-and-process/genai-pricing,2/18/2026,404
https://sarahzou.com/wiki/pricing/price-architecture,2/18/2026,404
https://sarahzou.com/wiki/pricing/comms-and-deals/early-adopter-programs,2/17/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/consumption-based-pricing,2/17/2026,404
https://sarahzou.com/wiki/pricing/governance-and-process/compliance-ethics,2/17/2026,404
https://sarahzou.com/wiki/pricing/foundations/market-posture-timing,2/16/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/realized-price-index,2/16/2026,404
https://sarahzou.com/wiki/pricing/behavioral-psychology/,2/15/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/cost-to-serve,2/15/2026,404
https://sarahzou.com/downloads/saas-benchmark-source-navigator/,2/15/2026,404
https://sarahzou.com/wiki/pricing/packaging-and-bundling/tiered-products,2/15/2026,404
https://sarahzou.com/wiki/pricing/pitfalls-and-failures/shelfware,2/15/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/pocket-price,2/15/2026,404
https://sarahzou.com/wiki/pricing/value-and-customers/price-sensitivity,2/15/2026,404
https://sarahzou.com/wiki/pricing/value-and-customers/value-communication,2/15/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/gabor-granger,2/15/2026,404
https://sarahzou.com/wiki/pricing/competitive-and-positioning/positioning,2/15/2026,404
https://sarahzou.com/wiki/pricing/models-and-metering/tariffs-market-mechanisms,2/14/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/van-westendorp,2/14/2026,404
https://sarahzou.com/wiki/pricing/intl-channels-billing,2/14/2026,404
https://sarahzou.com/wiki/pricing/value-and-customers/roi-tco-calculators,2/14/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/price-elasticity,2/14/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/price-waterfall,2/14/2026,404
https://sarahzou.com/wiki/pricing/pitfalls-and-failures/customer-driven-pricing,2/13/2026,404
https://sarahzou.com/wiki/pricing/comms-and-deals/procurement-negotiation/,2/11/2026,404
https://sarahzou.com/wiki/pricing/packaging-and-bundling/modular-packaging,2/8/2026,404
https://sarahzou.com/wiki/pricing/research-and-metrics/cltv-cac,2/7/2026,404
