URL,Last crawled
https://sarahzou.com/wiki/pricing/value-and-customers/ideal-customer-profile,3/4/2026
https://sarahzou.com/wiki/pricing/foundations/value-based-pricing,3/4/2026
https://sarahzou.com/wiki/pricing/foundations/customer-driven-pricing,2/23/2026
https://sarahzou.com/wiki/pricing/packaging-and-bundling/good-better-best,2/15/2026
https://sarahzou.com/wiki/pricing/comms-and-deals,2/15/2026
https://sarahzou.com/wiki/pricing/governance-and-process/raising-prices,2/14/2026
https://sarahzou.com/wiki/pricing/packaging-and-bundling,2/14/2026
https://sarahzou.com/wiki/pricing/value-and-customers/customer-segments,2/13/2026
https://sarahzou.com/wiki/pricing/models-and-metering/subscription-model,2/10/2026
https://sarahzou.com/wiki/pricing/foundations/strategic-pricing,2/9/2026
https://sarahzou.com/wiki/pricing/value-and-customers/willingness-to-pay,2/8/2026
https://sarahzou.com/wiki/pricing/foundations/competition-based-pricing,2/6/2026
https://sarahzou.com/wiki/pricing/packaging-and-bundling/bundling,2/5/2026
https://sarahzou.com/wiki/pricing/foundations/maximization,2/3/2026
https://sarahzou.com/wiki/pricing/governance-and-process,2/3/2026
https://sarahzou.com/wiki/pricing/foundations/penetration-strategy,2/1/2026
https://sarahzou.com/wiki/pricing/models-and-metering,1/31/2026
https://sarahzou.com/wiki/pricing/value-and-customers/value-drivers,1/31/2026
https://sarahzou.com/wiki/pricing/value-and-customers,1/30/2026
https://sarahzou.com/newsletter/saas-benchmark-data-sources-guide,1/30/2026
https://sarahzou.com/wiki/pricing/value-and-customers/economic-value-estimation,1/28/2026
https://sarahzou.com/wiki/pricing/comms-and-deals/value-selling,1/26/2026
https://sarahzou.com/wiki/pricing/value-and-customers/value-decoder-framework,1/26/2026
https://sarahzou.com/wiki/pricing/competitive-and-positioning,1/8/2026
https://sarahzou.com/wiki/pricing/comms-and-deals/discounting,1/7/2026
https://sarahzou.com/wiki/pricing/foundations,12/16/2025
https://sarahzou.com/wiki/pricing/packaging-and-bundling/packaging,12/14/2025
https://sarahzou.com/wiki/pricing/research-and-metrics/ab-testing,11/27/2025
https://sarahzou.com/wiki/pricing/pitfalls-and-failures/minivation/,11/8/2025
https://sarahzou.com/consulting/services/rapid-pricing-experiment-toolkit,10/30/2025
https://sarahzou.com/consulting/services/rapid-pricing-experiment-toolkit/,10/30/2025
https://sarahzou.com/newsletter/why-fractional-economist/,9/28/2025
https://sarahzou.com/_next/static/media/eaead17c7dbfcd5d-s.p.woff2,9/25/2025
https://sarahzou.com/consulting/services/profitability-simulator,6/18/2025
https://sarahzou.com/consulting/services/investor-updates-automation-kit,6/11/2025
https://sarahzou.com/consulting/services/investor-deck-accelerator,6/11/2025
https://sarahzou.com/consulting/services/customer-value-research-pack,6/11/2025
https://sarahzou.com/consulting/services/value-based-monetization-design,6/11/2025
https://sarahzou.com/consulting/services/runway-scenario-model,6/11/2025
https://sarahzou.com/consulting/services/competitive-benchmark-insights,6/11/2025
https://sarahzou.com/consulting/services/pricing-diagnostic-revenue-boost,6/11/2025
